Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs)
72,2007 (2004),5,Karnataka,Chitradurga,8772,10833,25.92,26.44,8157,10203,24.1,24.9,16919,19936,49.99,48.66,33847,40972,26
72,2008 (2004),5,Karnataka,Chitradurga,8258,10644,24.56,24.43,7940,10806,23.62,24.8,17423,22126,51.82,50.78,33620,43575,27
72,2009 (2004),5,Karnataka,Chitradurga,9509,12934,26.39,25.84,8141,11387,22.59,22.75,18384,25738,51.02,51.42,36034,50058,31
72,2010 (2004),5,Karnataka,Chitradurga,9321,14796,25.4,26.12,8671,13506,23.63,23.85,18699,28338,50.96,50.03,36691,56640,34
72,2011 (2004),5,Karnataka,Chitradurga,8043,14032,22.25,23.44,8682,14379,24.02,24.02,19426,31453,53.74,52.54,36151,59864,36
72,2012 (2004),5,Karnataka,Chitradurga,7357,14204,20.36,21.83,8705,15306,24.09,23.52,20072,35556,55.55,54.65,36135,65066,39
72,2013 (2004),5,Karnataka,Chitradurga,7271,14593,19.76,20.59,8686,16143,23.61,22.78,20840,40122,56.64,56.62,36797,70858,42
73,2007 (2004),5,Karnataka,Bellary,19110,23379,22.82,22.97,33026,41394,39.43,40.68,31623,36994,37.75,36.35,83759,101767,45
73,2008 (2004),5,Karnataka,Bellary,19347,24506,22.21,21.75,34252,45959,39.33,40.79,33492,42196,38.46,37.45,87091,112660,49
73,2009 (2004),5,Karnataka,Bellary,15727,21450,18.64,18.54,34031,46538,40.33,40.23,34631,47691,41.04,41.23,84389,115679,49
73,2010 (2004),5,Karnataka,Bellary,18816,29811,20.26,20.94,37264,57545,40.12,40.42,36809,55010,39.63,38.64,92889,142367,59
73,2011 (2004),5,Karnataka,Bellary,17054,30108,18.15,19.64,38473,61655,40.95,40.22,38425,61517,40.9,40.13,93952,153280,62
73,2012 (2004),5,Karnataka,Bellary,16356,32043,16.99,19.02,39982,66291,41.54,39.35,39904,70139,41.46,41.63,96242,168473,67
73,2013 (2004),5,Karnataka,Bellary,17076,34516,17.21,18.7,40130,69762,40.45,37.79,41998,80336,42.33,43.52,99205,184614,72
74,2007 (2004),5,Karnataka,Dharwad,7580,9325,11.63,12.14,20053,24058,30.76,31.33,37561,43418,57.61,56.53,65194,76801,44
74,2008 (2004),5,Karnataka,Dharwad,7865,10035,11.5,11.56,19902,25987,29.1,29.93,40621,50792,59.4,58.51,68388,86813,49
74,2009 (2004),5,Karnataka,Dharwad,6818,9264,10.28,10.24,19822,26791,29.89,29.61,39687,54438,59.84,60.16,66327,90494,50
74,2010 (2004),5,Karnataka,Dharwad,9005,14261,12.35,13.18,21609,31320,29.63,28.94,42312,62648,58.02,57.88,72927,108229,59
74,2011 (2004),5,Karnataka,Dharwad,8348,14687,11.07,12.12,22206,35353,29.44,29.16,44876,71179,59.49,58.72,75430,121218,66
74,2012 (2004),5,Karnataka,Dharwad,8188,15982,10.41,11.64,22980,38730,29.21,28.21,47492,82599,60.38,60.15,78659,137311,73
74,2013 (2004),5,Karnataka,Dharwad,8725,17595,10.7,11.48,23061,41073,28.28,26.81,49748,94551,61.02,61.71,81534,153219,81
75,2007 (2004),5,Karnataka,Belgaum,31261,38297,28.52,29.45,29385,35128,26.81,27.01,48954,56628,44.67,43.54,109600,130053,29
75,2008 (2004),5,Karnataka,Belgaum,32103,40724,28.19,28.23,29807,38585,26.17,26.75,51970,64934,45.64,45.02,113880,144243,31
75,2009 (2004),5,Karnataka,Belgaum,38753,52923,32.08,32.26,29516,39445,24.43,24.05,52542,71663,43.49,43.69,120811,164030,35
75,2010 (2004),5,Karnataka,Belgaum,52618,83211,37.66,39.58,31508,45329,22.55,21.56,55582,81680,39.78,38.85,139708,210219,45
75,2011 (2004),5,Karnataka,Belgaum,46251,82080,34.08,36.9,30695,48359,22.62,21.74,58749,92011,43.29,41.36,135695,222450,47
75,2012 (2004),5,Karnataka,Belgaum,43124,84920,31.75,35.14,30897,51011,22.75,21.11,61788,105704,45.5,43.75,135810,241635,50
75,2013 (2004),5,Karnataka,Belgaum,43962,88992,31.66,34.04,30637,53235,22.06,20.36,64254,119214,46.28,45.6,138852,261441,53
76,2007 (2004),5,Karnataka,Bijapur / Vijayapura,15161,18566,31.55,32.13,9124,11174,18.99,19.34,23771,28037,49.47,48.53,48056,57777,29
76,2008 (2004),5,Karnataka,Bijapur / Vijayapura,16829,21315,32.8,32.32,8790,11881,17.13,18.01,25688,32761,50.07,49.67,51307,65958,32
76,2009 (2004),5,Karnataka,Bijapur / Vijayapura,19505,26672,34.9,34.22,9158,12733,16.39,16.34,27224,38531,48.71,49.44,55887,77935,37
76,2010 (2004),5,Karnataka,Bijapur / Vijayapura,24338,38516,37.86,38.64,10277,15456,15.99,15.51,29664,45708,46.15,45.85,64279,99680,47
76,2011 (2004),5,Karnataka,Bijapur / Vijayapura,22512,39991,34.35,35.96,10630,17354,16.22,15.6,32400,53863,49.43,48.43,65543,111208,51
76,2012 (2004),5,Karnataka,Bijapur / Vijayapura,22051,43505,32.42,34.27,10934,19085,16.07,15.03,35039,64368,51.51,50.7,68025,126958,57
76,2013 (2004),5,Karnataka,Bijapur / Vijayapura,23613,47882,32.84,33.35,10956,20342,15.24,14.17,37324,75361,51.92,52.49,71893,143585,64
77,2007 (2004),5,Karnataka,Bidar,8962,11004,23.9,24.4,6335,7688,16.9,17.04,22197,26413,59.2,58.56,37494,45105,28
77,2008 (2004),5,Karnataka,Bidar,8789,11202,22.81,22.52,6254,8334,16.23,16.75,23488,30215,60.96,60.73,38531,49751,30
77,2009 (2004),5,Karnataka,Bidar,9721,13244,24.17,23.42,6368,8785,15.83,15.54,24138,34518,60,61.04,40227,56547,34
77,2010 (2004),5,Karnataka,Bidar,9054,14344,21.43,21.83,7088,10532,16.77,16.03,26117,40823,61.8,62.14,42259,65699,39
77,2011 (2004),5,Karnataka,Bidar,8165,14331,18.75,19.47,7425,12102,17.05,16.44,27959,47188,64.2,64.1,43549,73621,43
77,2012 (2004),5,Karnataka,Bidar,7796,15167,17.27,18.11,7549,13163,16.72,15.72,29803,55412,66.01,66.17,45148,83742,49
77,2013 (2004),5,Karnataka,Bidar,8070,16246,17.02,17.06,7611,14073,16.06,14.78,31721,64882,66.92,68.15,47403,95201,54
78,2007 (2004),5,Karnataka,Raichur,17661,21565,35.81,36.35,11107,13538,22.52,22.82,20545,24231,41.66,40.84,49313,59334,33
78,2008 (2004),5,Karnataka,Raichur,18805,23713,36.42,35.89,11488,15242,22.25,23.07,21347,27123,41.34,41.05,51640,66078,36
78,2009 (2004),5,Karnataka,Raichur,14776,20157,30.41,30.13,11705,15991,24.09,23.9,22109,30760,45.5,45.97,48590,66908,36
78,2010 (2004),5,Karnataka,Raichur,17373,27486,32,33.23,13355,19848,24.6,24,23569,35368,43.41,42.77,54296,82702,43
78,2011 (2004),5,Karnataka,Raichur,16231,28727,29.62,31.71,13885,22382,25.34,24.7,24677,39498,45.04,43.59,54793,90607,47
78,2012 (2004),5,Karnataka,Raichur,16054,31550,28.46,31.07,14559,24890,25.81,24.52,25802,45089,45.74,44.41,56415,101529,52
78,2013 (2004),5,Karnataka,Raichur,17322,35044,29.21,30.93,14937,27049,25.19,23.87,27046,51217,45.61,45.2,59304,113310,57
79,2007 (2004),5,Karnataka,Gulbarga / Kalaburagi,14771,18082,25.1,23.49,19286,29890,32.77,38.83,24798,29003,42.13,37.68,58856,76975,32
79,2008 (2004),5,Karnataka,Gulbarga / Kalaburagi,14445,18327,24.31,22.31,18799,30761,31.63,37.45,26183,33044,44.06,40.23,59428,82132,34
79,2009 (2004),5,Karnataka,Gulbarga / Kalaburagi,10018,13624,18.12,17.02,18274,29276,33.06,36.57,26985,37145,48.82,46.41,55278,80045,32
79,2010 (2004),5,Karnataka,Gulbarga / Kalaburagi,13106,20770,21.44,19.61,18982,41663,31.05,39.33,29042,43492,47.51,41.06,61130,105925,42
79,2011 (2004),5,Karnataka,Gulbarga / Kalaburagi,11824,20796,20.19,20.31,15808,32193,26.99,31.44,30934,49400,52.82,48.25,58566,102389,40
79,2012 (2004),5,Karnataka,Gulbarga / Kalaburagi,11290,22019,18.86,19.47,15979,34040,26.7,30.09,32589,57058,54.44,50.44,59857,113116,43
79,2013 (2004),5,Karnataka,Gulbarga / Kalaburagi,11699,23591,18.83,18.91,16133,35898,25.96,28.78,34306,65245,55.21,52.31,62138,124733,47
80,2007 (2004),5,Karnataka,Dakshina Kannada,13557,16859,11.72,12.39,41591,49567,35.95,36.44,60552,69613,52.34,51.17,115700,136039,68
80,2008 (2004),5,Karnataka,Dakshina Kannada,12942,17203,10.7,11.22,43417,56082,35.9,36.58,64584,80020,53.4,52.2,120943,153304,76
80,2009 (2004),5,Karnataka,Dakshina Kannada,13288,18559,11.14,11.49,41816,55572,35.06,34.4,64174,87403,53.8,54.11,119278,161535,79
80,2010 (2004),5,Karnataka,Dakshina Kannada,15712,25526,12.15,13.35,46319,66251,35.83,34.65,67246,99445,52.02,52.01,129276,191221,93
80,2011 (2004),5,Karnataka,Dakshina Kannada,14268,25404,10.89,12.14,46050,72064,35.15,34.43,70695,111811,53.96,53.43,131013,209278,100
80,2012 (2004),5,Karnataka,Dakshina Kannada,13439,26742,9.86,11.37,47559,78234,34.9,33.26,75287,130253,55.24,55.37,136285,235228,111
80,2013 (2004),5,Karnataka,Dakshina Kannada,13744,28576,9.74,10.91,47827,83114,33.9,31.73,79526,150224,56.36,57.36,141097,261914,122
81,2007 (2004),5,Karnataka,Uttara Kannada,13925,17922,30.45,32.29,9773,11946,21.37,21.52,22028,25630,48.17,46.18,45726,55499,40
81,2008 (2004),5,Karnataka,Uttara Kannada,14438,20986,30.89,33.68,9361,12534,20.03,20.12,22935,28784,49.08,46.2,46734,62304,44
81,2009 (2004),5,Karnataka,Uttara Kannada,15688,23096,32.93,34.4,9069,12514,19.03,18.64,22887,31525,48.04,46.96,47644,67134,47
81,2010 (2004),5,Karnataka,Uttara Kannada,20119,34227,37.04,40.07,10098,15124,18.59,17.71,24095,36060,44.36,42.22,54311,85410,60
81,2011 (2004),5,Karnataka,Uttara Kannada,19062,34763,34.79,37.69,10457,16946,19.09,18.37,25270,40518,46.12,43.93,54789,92227,64
81,2012 (2004),5,Karnataka,Uttara Kannada,17987,37203,32.81,36.7,10355,17818,18.89,17.57,26474,46363,48.3,45.73,54816,101384,70
81,2013 (2004),5,Karnataka,Uttara Kannada,18379,40383,32.59,36.09,10261,18683,18.2,16.7,27751,52814,49.21,47.21,56391,111881,77
82,2007 (2004),5,Karnataka,Kodagu / Coorg,21875,26691,45.77,46.42,6475,7790,13.55,13.55,19440,23024,40.68,40.04,47790,57504,104
82,2008 (2004),5,Karnataka,Kodagu / Coorg,22235,28027,45,44.4,6502,8574,13.16,13.58,20678,26526,41.85,42.02,49414,63128,114
82,2009 (2004),5,Karnataka,Kodagu / Coorg,28366,38796,50.68,49.73,6413,8741,11.46,11.2,21197,30475,37.87,39.06,55976,78012,141
82,2010 (2004),5,Karnataka,Kodagu / Coorg,30926,48880,51.17,51.71,7028,10249,11.63,10.84,22488,35404,37.21,37.45,60442,94533,171
82,2011 (2004),5,Karnataka,Kodagu / Coorg,27956,49682,47.25,48.59,7019,11221,11.86,10.97,24186,41350,40.88,40.44,59161,102252,184
82,2012 (2004),5,Karnataka,Kodagu / Coorg,26806,52880,44.63,46.25,7243,12287,12.06,10.75,26012,49171,43.31,43.01,60061,114337,206
82,2013 (2004),5,Karnataka,Kodagu / Coorg,28176,57069,45.24,45.33,7187,12898,11.54,10.24,26918,55933,43.22,44.43,62281,125900,227
83,2007 (2004),11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,7820,10917,4.67,5.7,40542,47795,24.19,24.97,119215,132670,71.14,69.32,167577,191383,55
83,2008 (2004),11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,7000,11431,3.79,5,40907,52266,22.14,22.87,136817,164862,74.07,72.13,184725,228560,63
83,2009 (2004),11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,5917,11859,2.91,4.4,49477,65697,24.31,24.39,148135,191772,72.78,71.2,203530,269328,72
83,2010 (2004),11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,5564,12781,2.22,3.59,59862,85566,23.88,24.03,185301,257733,73.91,72.38,250727,356080,92
83,2011 (2004),11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,5813,13405,2.08,3.17,66386,102879,23.72,24.3,207691,307096,74.2,72.53,279890,423380,106
83,2012 (2004),11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,5225,12495,1.7,2.46,73953,123770,24.01,24.34,228791,372337,74.29,73.21,307969,508602,123
83,2013 (2004),11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,5361,14067,1.59,2.34,75923,134275,22.54,22.36,255483,452301,75.86,75.3,336767,600643,140
84,2007 (2004),11,Tamil Nadu,South Arcot / Cuddalore,9512,13234,14.03,16.68,19356,23165,28.55,29.19,38928,42960,57.42,54.13,67796,79359,32
84,2008 (2004),11,Tamil Nadu,South Arcot / Cuddalore,8107,13159,11.75,14.97,18441,24513,26.73,27.88,42435,50244,61.52,57.15,68983,87917,35
84,2009 (2004),11,Tamil Nadu,South Arcot / Cuddalore,8642,17341,11.16,16.32,21177,29212,27.36,27.49,47594,59704,61.48,56.19,77413,106257,42
84,2010 (2004),11,Tamil Nadu,South Arcot / Cuddalore,11051,25751,12.48,19.5,25005,37208,28.25,28.17,52460,69110,59.27,52.33,88517,132069,51
84,2011 (2004),11,Tamil Nadu,South Arcot / Cuddalore,10974,25701,11.42,17.16,28949,46297,30.11,30.92,56213,77736,58.47,51.92,96136,149734,57
84,2012 (2004),11,Tamil Nadu,South Arcot / Cuddalore,9114,22284,9.28,13.61,31768,55033,32.35,33.61,57313,86434,58.37,52.78,98196,163750,62
84,2013 (2004),11,Tamil Nadu,South Arcot / Cuddalore,8907,24127,8.81,13.35,31958,58808,31.6,32.54,60255,97783,59.59,54.11,101120,180718,68
85,2007 (2004),11,Tamil Nadu,North Arcot / Vellore,10447,14913,10.5,12.89,28675,33819,28.83,29.23,60354,66967,60.67,57.88,99475,115699,31
85,2008 (2004),11,Tamil Nadu,North Arcot / Vellore,9885,16610,9.7,12.89,28181,36048,27.64,27.98,63887,76199,62.66,59.13,101953,128857,34
85,2009 (2004),11,Tamil Nadu,North Arcot / Vellore,9509,19865,8.57,13.18,33614,44710,30.3,29.67,67820,86131,61.13,57.15,110942,150706,39
85,2010 (2004),11,Tamil Nadu,North Arcot / Vellore,5732,14700,4.89,8.78,39582,56655,33.79,33.85,71842,96020,61.32,57.37,117156,167375,43
85,2011 (2004),11,Tamil Nadu,North Arcot / Vellore,6034,15619,4.99,8.51,41298,64153,34.14,34.96,73638,103731,60.87,56.53,120970,183502,47
85,2012 (2004),11,Tamil Nadu,North Arcot / Vellore,5348,14671,4.27,7.18,45020,75565,35.97,36.98,74776,114081,59.75,55.84,125144,204318,51
85,2013 (2004),11,Tamil Nadu,North Arcot / Vellore,5562,16798,4.28,7.39,45898,81409,35.32,35.82,78482,129052,60.4,56.79,129942,227259,56
86,2007 (2004),11,Tamil Nadu,Salem,13028,18396,11.01,13.42,41357,48334,34.95,35.27,63931,70324,54.03,51.31,118316,137054,42
86,2008 (2004),11,Tamil Nadu,Salem,12436,20480,10.19,13.4,40582,51107,33.26,33.43,68981,81299,56.54,53.18,121999,152887,46
86,2009 (2004),11,Tamil Nadu,Salem,14726,30298,10.61,16.11,49513,64401,35.69,34.24,74506,93363,53.7,49.64,138745,188062,56
86,2010 (2004),11,Tamil Nadu,Salem,15332,37242,9.98,16.65,57187,79620,37.22,35.6,81135,106802,52.8,47.75,153654,223665,65
86,2011 (2004),11,Tamil Nadu,Salem,16670,40789,10.31,16.37,60270,90860,37.29,36.46,84705,117558,52.4,47.17,161645,249207,72
86,2012 (2004),11,Tamil Nadu,Salem,14661,37993,8.84,13.92,63745,103202,38.44,37.8,87409,131830,52.71,48.29,165815,273024,77
86,2013 (2004),11,Tamil Nadu,Salem,15658,45630,9.05,14.89,65242,110589,37.7,36.08,92174,150308,53.26,49.04,173074,306528,85
87,2007 (2004),11,Tamil Nadu,Coimbatore,7387,10357,3.66,4.54,101169,116745,50.17,51.2,93093,100927,46.17,44.26,201649,228029,71
87,2008 (2004),11,Tamil Nadu,Coimbatore,7318,11889,3.48,4.66,98818,121890,47.02,47.82,104019,121094,49.5,47.51,210155,254873,78
87,2009 (2004),11,Tamil Nadu,Coimbatore,7862,16112,3.22,5.15,125859,159409,51.47,50.93,110804,137472,45.31,43.92,244525,312993,94
87,2010 (2004),11,Tamil Nadu,Coimbatore,9489,22884,3.47,6.13,142915,192507,52.29,51.58,120909,157818,44.24,42.29,273313,373209,110
87,2011 (2004),11,Tamil Nadu,Coimbatore,9569,23275,3.29,5.56,148715,215771,51.15,51.52,132455,179768,45.56,42.92,290738,418814,121
87,2012 (2004),11,Tamil Nadu,Coimbatore,7757,20015,2.59,4.36,152253,235001,50.93,51.25,138921,203526,46.47,44.39,298932,458541,130
87,2013 (2004),11,Tamil Nadu,Coimbatore,7682,22365,2.43,4.37,156957,250660,49.67,48.97,151340,238860,47.9,46.66,315979,511886,142
88,2007 (2004),11,Tamil Nadu,Tiruchirapalli / Trichy,10928,15349,10.1,12.32,31440,36993,29.06,29.68,65808,72286,60.83,58,108176,124628,48
88,2008 (2004),11,Tamil Nadu,Tiruchirapalli / Trichy,10286,16784,9.16,11.95,30889,39426,27.5,28.07,71153,84227,63.34,59.97,112328,140437,53
88,2009 (2004),11,Tamil Nadu,Tiruchirapalli / Trichy,11510,23641,9.25,14.02,37487,49525,30.13,29.38,75417,95398,60.62,56.59,124413,168565,63
88,2010 (2004),11,Tamil Nadu,Tiruchirapalli / Trichy,12257,29711,9.01,14.94,43234,61249,31.79,30.79,80506,107951,59.2,54.27,135996,198911,74
88,2011 (2004),11,Tamil Nadu,Tiruchirapalli / Trichy,13036,31857,9.05,14.33,46656,71268,32.38,32.05,84376,119247,58.57,53.63,144068,222372,82
88,2012 (2004),11,Tamil Nadu,Tiruchirapalli / Trichy,11158,28920,7.61,11.91,49798,81878,33.98,33.72,85597,132051,58.41,54.38,146554,242849,88
88,2013 (2004),11,Tamil Nadu,Tiruchirapalli / Trichy,11645,34010,7.63,12.52,50666,87525,33.2,32.22,90292,150103,59.17,55.26,152603,271638,97
89,2007 (2004),11,Tamil Nadu,Thanjavur,12355,17233,18.58,22.07,12650,15072,19.02,19.31,41503,45767,62.4,58.62,66508,78072,34
89,2008 (2004),11,Tamil Nadu,Thanjavur,11647,18859,17.31,21.89,12289,15991,18.26,18.56,43345,51313,64.42,59.55,67282,86163,37
89,2009 (2004),11,Tamil Nadu,Thanjavur,13330,27059,18,25.81,14170,19319,19.14,18.43,46536,58460,62.86,55.76,74037,104837,44
89,2010 (2004),11,Tamil Nadu,Thanjavur,15546,36925,19.16,29.28,16869,24827,20.79,19.68,48742,64379,60.06,51.04,81158,126131,53
89,2011 (2004),11,Tamil Nadu,Thanjavur,16833,40289,19.69,28.84,18788,29993,21.97,21.47,49888,69429,58.34,49.69,85510,139711,58
89,2012 (2004),11,Tamil Nadu,Thanjavur,14812,37399,17.1,24.93,20980,36315,24.22,24.21,50813,76273,58.67,50.85,86605,149987,62
89,2013 (2004),11,Tamil Nadu,Thanjavur,15722,44661,17.46,26.39,21111,38890,23.45,22.98,53199,85713,59.09,50.64,90032,169263,69
90,2007 (2004),11,Tamil Nadu,Madurai,7685,10841,6.37,7.84,39966,46944,33.12,33.95,73022,80505,60.51,58.22,120673,138289,49
90,2008 (2004),11,Tamil Nadu,Madurai,7631,12530,6.06,8.02,39833,50580,31.61,32.36,78531,93188,62.33,59.62,125995,156298,54
90,2009 (2004),11,Tamil Nadu,Madurai,8688,17894,6.22,9.61,47831,62965,34.22,33.83,83261,105255,59.57,56.55,139779,186114,63
90,2010 (2004),11,Tamil Nadu,Madurai,9892,24049,6.37,10.81,56013,79170,36.06,35.59,89450,119228,57.58,53.6,155354,222447,74
90,2011 (2004),11,Tamil Nadu,Madurai,11161,27330,6.86,11.02,59499,91304,36.55,36.82,92136,129364,56.6,52.16,162795,247997,82
90,2012 (2004),11,Tamil Nadu,Madurai,10144,26322,6.04,9.57,63804,105480,38,38.36,93958,143167,55.96,52.07,167906,274969,89
90,2013 (2004),11,Tamil Nadu,Madurai,11232,32818,6.37,10.57,65547,114148,37.16,36.76,99612,163538,56.47,52.67,176391,310505,99
91,2007 (2004),11,Tamil Nadu,Ramananthapuram,8500,11370,23.56,26.61,8811,10412,24.42,24.37,18769,20949,52.02,49.03,36080,42730,33
91,2008 (2004),11,Tamil Nadu,Ramananthapuram,8010,12422,22.21,26.53,8812,11296,24.44,24.13,19236,23099,53.35,49.34,36058,46818,36
91,2009 (2004),11,Tamil Nadu,Ramananthapuram,7752,14244,19.91,26.08,10662,14222,27.38,26.04,20523,26154,52.71,47.88,38937,54619,41
91,2010 (2004),11,Tamil Nadu,Ramananthapuram,8312,16308,19.55,25.71,12765,18332,30.02,28.9,21448,28797,50.44,45.4,42525,63436,48
91,2011 (2004),11,Tamil Nadu,Ramananthapuram,8573,16675,19.64,24.43,13364,20886,30.62,30.59,21713,30707,49.74,44.98,43650,68268,50
91,2012 (2004),11,Tamil Nadu,Ramananthapuram,8102,15888,18.15,21.44,14780,24955,33.11,33.68,21752,33247,48.74,44.87,44633,74091,54
91,2013 (2004),11,Tamil Nadu,Ramananthapuram,8184,17066,17.83,21.01,15199,27176,33.11,33.46,22523,36972,49.06,45.52,45906,81214,58
92,2007 (2004),11,Tamil Nadu,Thirunelveli,13943,19545,13.37,15.98,31597,37505,30.3,30.66,58744,65295,56.33,53.37,104284,122344,42
92,2008 (2004),11,Tamil Nadu,Thirunelveli,13693,22309,12.75,16.19,31377,40836,29.21,29.64,62350,74641,58.04,54.17,107420,137786,46
92,2009 (2004),11,Tamil Nadu,Thirunelveli,15469,31554,12.99,19.01,36798,49573,30.91,29.87,66787,84848,56.1,51.12,119053,165975,55
92,2010 (2004),11,Tamil Nadu,Thirunelveli,16523,39534,12.52,19.86,42676,61786,32.34,31.04,72769,97751,55.14,49.1,131968,199071,65
92,2011 (2004),11,Tamil Nadu,Thirunelveli,18624,44887,13.27,20.04,45514,70976,32.44,31.68,76165,108146,54.29,48.28,140303,224009,73
92,2012 (2004),11,Tamil Nadu,Thirunelveli,17040,43369,12.03,17.95,46923,78620,33.11,32.55,77739,119579,54.86,49.5,141701,241568,78
92,2013 (2004),11,Tamil Nadu,Thirunelveli,18851,53998,12.75,19.81,47673,84291,32.25,30.92,81277,134285,54.99,49.27,147801,272575,86
93,2007 (2004),11,Tamil Nadu,The Nilgiris,8065,11327,17,20.1,6672,7990,14.06,14.18,32704,37038,68.94,65.72,47441,56355,76
93,2008 (2004),11,Tamil Nadu,The Nilgiris,7507,12243,15.95,19.94,6499,8499,13.81,13.84,33056,40666,70.24,66.22,47061,61407,83
93,2009 (2004),11,Tamil Nadu,The Nilgiris,9246,18976,18.76,26.32,7114,9774,14.44,13.56,32917,43338,66.8,60.12,49276,72087,97
93,2010 (2004),11,Tamil Nadu,The Nilgiris,9881,23929,18.98,28.59,8197,12152,15.75,14.52,33974,47629,65.27,56.9,52052,83709,113
93,2011 (2004),11,Tamil Nadu,The Nilgiris,10526,25700,20.04,28.79,8220,13283,15.65,14.88,33769,50284,64.3,56.33,52515,89268,121
93,2012 (2004),11,Tamil Nadu,The Nilgiris,9006,23332,17.72,25.27,8959,15669,17.63,16.97,32865,53345,64.66,57.77,50829,92346,126
93,2013 (2004),11,Tamil Nadu,The Nilgiris,9422,27543,18.36,27.07,8608,16110,16.78,15.83,33284,58099,64.86,57.1,51314,101751,139
94,2007 (2004),11,Tamil Nadu,Kanyakumari,11567,15631,17.12,19.63,21703,26226,32.12,32.93,34309,37775,50.77,47.44,67579,79632,45
94,2008 (2004),11,Tamil Nadu,Kanyakumari,11096,17400,16.34,19.84,22024,29265,32.43,33.36,34785,41053,51.23,46.8,67904,87718,49
94,2009 (2004),11,Tamil Nadu,Kanyakumari,13186,25170,17.54,23.63,25418,35634,33.8,33.46,36588,45691,48.66,42.9,75191,106495,59
94,2010 (2004),11,Tamil Nadu,Kanyakumari,13531,28451,16.94,23.49,29575,44746,37.03,36.95,36755,47899,46.02,39.55,79861,121096,66
94,2011 (2004),11,Tamil Nadu,Kanyakumari,14254,29969,17.77,23.37,30265,49401,37.73,38.52,35696,48866,44.5,38.11,80214,128236,69
94,2012 (2004),11,Tamil Nadu,Kanyakumari,13144,28268,16.25,20.58,32370,57076,40.02,41.55,35369,52007,43.73,37.86,80883,137351,72
94,2013 (2004),11,Tamil Nadu,Kanyakumari,13551,31895,16.41,21.17,32582,61423,39.45,40.77,36462,57350,44.15,38.06,82595,150669,78
96,2007 (2004),7,Maharashtra,Thane,19374,24551,3.68,4.03,134222,156875,25.48,25.75,373271,427700,70.85,70.22,526866,609126,62
96,2008 (2004),7,Maharashtra,Thane,17434,23827,3.08,3.39,134538,168658,23.79,23.97,413620,511008,73.13,72.64,565591,703493,70
96,2009 (2004),7,Maharashtra,Thane,14677,23820,2.28,2.87,146738,186504,22.8,22.51,482058,618353,74.91,74.62,643474,828677,80
96,2010 (2004),7,Maharashtra,Thane,15293,29741,2.13,2.93,161545,218423,22.47,21.55,542071,765350,75.4,75.51,718909,1013514,95
96,2011 (2004),7,Maharashtra,Thane,15904,34898,2.07,2.91,176942,258770,23.03,21.6,575557,904329,74.9,75.49,768402,1197997,108
96,2012 (2004),7,Maharashtra,Thane,15365,35430,1.8,2.47,192031,300148,22.55,20.9,644053,1100436,75.64,76.63,851449,1436013,126
96,2013 (2004),7,Maharashtra,Thane,15708,40510,1.66,2.37,209116,345091,22.14,20.22,719824,1320847,76.2,77.4,944648,1706448,145
97,2007 (2004),7,Maharashtra,Raigad,17519,22211,9.14,9.87,92441,108517,48.2,48.2,81813,94389,42.66,41.93,191773,225117,93
97,2008 (2004),7,Maharashtra,Raigad,15562,21375,7.66,8.33,99154,125268,48.79,48.8,88513,110031,43.55,42.87,203229,256674,104
97,2009 (2004),7,Maharashtra,Raigad,11380,18499,5.39,6.77,98043,124879,46.41,45.69,101840,129917,48.21,47.54,211262,273295,108
97,2010 (2004),7,Maharashtra,Raigad,11308,21970,4.93,6.83,101177,137736,44.12,42.84,116820,161812,50.95,50.33,229305,321519,125
97,2011 (2004),7,Maharashtra,Raigad,11697,25644,4.94,7.06,104830,154240,44.31,42.49,120065,183155,50.75,50.45,236592,363038,138
97,2012 (2004),7,Maharashtra,Raigad,11270,25922,4.48,6.3,109542,170440,43.53,41.45,130812,214833,51.99,52.25,251625,411196,153
97,2013 (2004),7,Maharashtra,Raigad,11529,29649,4.25,6.29,115482,189735,42.6,40.25,144103,252022,53.15,53.46,271114,471406,171
98,2007 (2004),7,Maharashtra,Ratnagiri,13886,17634,20.14,21.84,24397,28163,35.38,34.89,30677,34929,44.49,43.27,68959,80725,49
